,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record,evaluation,gold_standard
1,0.5053191489361702,0.07877280265339967,0.13629842180774748,0.2,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
2,0.5,0.0779436152570481,0.13486370157819227,0.3,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
3,0.46808510638297873,0.07296849087893864,0.12625538020086083,0.4,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
4,0.3829787234042553,0.05970149253731343,0.10329985652797705,0.5,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
5,0.23404255319148937,0.03648424543946932,0.06312769010043041,0.6,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
6,0.1276595744680851,0.01990049751243781,0.03443328550932568,0.7,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
7,0.031914893617021274,0.004975124378109453,0.00860832137733142,0.8,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
8,0.005319148936170213,0.0008291873963515755,0.0014347202295552368,0.9,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
0,0.3953488372093023,0.04228855721393035,0.07640449438202246,0.1,0.2589197323090326,0.032178449272865964,0.05724278610449643,225,01-02-0017,record,union
1,0.3953488372093023,0.04228855721393035,0.07640449438202246,0.2,0.2589197323090326,0.032178449272865964,0.05724278610449643,225,01-02-0017,record,union
2,0.3875968992248062,0.04145936981757877,0.0749063670411985,0.3,0.2589197323090326,0.032178449272865964,0.05724278610449643,225,01-02-0017,record,union
3,0.3643410852713178,0.03897180762852405,0.0704119850187266,0.4,0.2589197323090326,0.032178449272865964,0.05724278610449643,225,01-02-0017,record,union
4,0.26356589147286824,0.028192371475953566,0.050936329588014986,0.5,0.2589197323090326,0.032178449272865964,0.05724278610449643,225,01-02-0017,record,union
5,0.12403100775193798,0.013266998341625208,0.02397003745318352,0.6,0.2589197323090326,0.032178449272865964,0.05724278610449643,225,01-02-0017,record,union
6,0.03875968992248062,0.0041459369817578775,0.00749063670411985,0.7,0.2589197323090326,0.032178449272865964,0.05724278610449643,225,01-02-0017,record,union
